"comunidad","year","roe","margen","rotacion","gastosfin","cobertura","cobro","pago","crecimiento","solvencia","liquidez","ingresosemp","costeemp","beneficioemp","ventas","gastosfinancieros","gastospersonal","resultadoejercicio","activo","inmovilizado","activocorriente","patrimonioneto","deudaslargoplazo","deudascortoplazo","fondomaniobra"
"Aragon",1996,16.22,1.3,2.03,0.01,1.71,69.59,36.24,11.28,24.53,1.2,75.24,15.52,1.08,342713.53,7970.66,80816.56,9742.56,252700.7,73511.59,179189.12,85860.24,60163.47,8274.55,128565
"Aragon",1997,21.67,1.4,2.13,0.01,1.88,61.94,31.28,15.88,24.84,1.16,79.37,17.17,1.46,481000.53,8464.6,114486.53,5746.05,323852.88,94267.18,229585.73,95443.68,62594.72,7652.83,149776.55
"Aragon",1998,20.46,1.29,2,0.01,2.26,66.48,39.28,14.82,23.31,1.15,78.74,16.44,1.19,668491.89,8410.48,143463.25,26642.02,380528.94,98001.94,282527.05,109623.39,52350.58,13285.56,185642.44
"Aragon",1999,23.11,1.61,2.08,0.01,2.82,65.7,26.46,13.89,24.59,1.18,73.28,17.65,1.85,792405.32,12884.68,166843.82,7949.19,470196.98,147281.11,322915.88,131516.88,50274.6,19493.62,215540.96
"Aragon",2000,18.24,0.88,1.95,0.01,1.65,63.44,68.26,12.53,21.31,1.11,74.5,17.89,0.71,951135.18,12281.83,207068.47,18690.15,693304.12,234545.25,458758.86,201536.33,51902.42,39248.64,326147.01
"Aragon",2001,18.37,0.53,1.97,0.01,1.27,61.26,19.56,6.9,22.6,1.08,68.21,18.62,0.53,1071717.74,15205.61,239883.1,-7917.06,705512.61,280250.2,425262.42,202218.1,70249.76,47834.99,304314.54
"Aragon",2002,17.65,0.97,1.84,0.01,1.61,67.44,18.25,5.9,21.55,1.12,70.61,19.27,0.75,976392.8,9611.66,206083.22,-3771.48,546096.62,209653.16,336443.5,156481.3,99603.77,54686.51,247206.99
"Aragon",2003,17.63,0.97,1.9,0.01,1.76,64.82,21.2,6.8,20.42,1.11,71.95,19.74,0.8,1081302.45,7483.55,212243.82,-11107.8,510718.23,128257.5,382460.73,125699.68,82114.72,64811.31,279991.64
"Aragon",2004,13.14,0.73,1.83,0,1.88,62.88,18.39,7.74,21.19,1.15,74.87,20.82,0.76,1194738.69,7065.25,213421.8,-301.13,512263.96,118421.28,393842.68,93432.32,37669.74,62189.96,290791.67
"Aragon",2005,15.06,0.7,1.82,0,1.84,64.75,38.29,10.24,19.03,1.15,71.23,21.17,0.65,1326279.04,9529.72,231324.45,17227.51,664070.45,212850.89,451219.55,139881.41,157557.07,17134.19,251329.08
"Aragon",2006,18.03,1.03,1.74,0.01,2.25,63.16,41.6,10.8,20.36,1.16,77.17,22.02,0.86,1514296.49,14946.51,256614.7,11275.42,807099.76,285422.57,521677.21,148096.91,225009.21,32519.83,312430.97
"Aragon",2007,19.52,1.51,1.75,0.01,2.86,67.23,43.12,8.71,22.86,1.26,84.34,23.18,1.35,1725865.06,23259.97,279185.64,37781.25,858468.62,249447.59,609021.04,286095.89,33757.49,147714.51,398035.84
"Aragon",2008,15.02,1.03,1.79,0.01,1.71,54.67,36.52,0.35,25.98,1.23,81.31,24.92,1.1,1575731.15,22460.16,306818.69,2190.15,824572.21,261571.43,563000.78,248033.44,146136.59,78464.39,293111.82
"Aragon",2009,9.88,0.73,1.48,0.01,1.45,63.73,36.03,-11.36,24.76,1.22,75.32,26.11,0.53,1344526.84,26595.64,299289.12,-35686.7,831888.86,284036.75,547852.13,234566.33,146661.46,74850.19,268534.25
"Aragon",2010,9.41,0.76,1.48,0.01,1.7,62.57,52.37,-1.74,26.74,1.28,79.04,26,0.63,1416865.08,19334.65,291799.7,15104.02,854114.97,311546.11,542568.85,275505.93,145454.66,57403.32,301623.54
"Aragon",2011,6.59,0.46,1.43,0.01,1.23,60.41,42.75,-5.29,27.92,1.27,74.71,26.62,0.27,1331310.76,18251.42,281118.13,3688.86,808484.34,285995.83,522488.51,275939.66,111059.22,60857.48,254683.86
"Aragon",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Andalucia",1996,16.2,1,1.84,0.01,1.48,65.67,23.27,10.61,14.53,1.02,71.1,15.34,0.86,785540.62,19493.54,152123.73,12074.72,556640.84,165970.36,390670.53,133221.12,30512.07,87289.9,258867.35
"Andalucia",1997,18.91,1.11,1.9,0.01,1.69,58.49,46.72,15.85,15.84,1.05,74.62,14.27,1.17,999674.04,21342.27,149577.72,31481.54,577471.66,188547.38,388924.3,126918.52,34309.36,57040.98,235759.95
"Andalucia",1998,22.49,0.95,1.83,0.01,1.67,60.04,43.09,20.11,14.61,1.05,78.33,14.07,1.02,1158080.88,16385.84,181805.77,25101.21,727897.09,239702.3,488194.77,182238.96,46956.53,39112.95,276400.69
"Andalucia",1999,22.27,1.03,1.88,0.01,1.97,55.93,60.39,17.78,13.45,1.03,75.07,14.48,0.94,1360207.68,28542.33,223843.34,-3131.85,1168011.71,475539.22,692472.54,324755.95,148629.22,81288.58,329273.19
"Andalucia",2000,20.36,1.01,1.74,0.01,1.66,60.54,49.48,13.25,13.85,1.02,71.81,14.9,0.76,1634009.84,56395.04,289550.09,-85045.74,1632152.49,824233.11,807909.38,363519.28,250473.66,60852.85,355558.11
"Andalucia",2001,20.98,0.87,1.83,0.01,1.64,54.91,39.54,11.05,13.7,1.02,70.24,15.12,0.76,1894387.87,51507.24,342669.31,-36519.39,1814805.79,970477.74,844328.09,340985.59,497553.16,182528.15,451826.31
"Andalucia",2002,21.04,0.85,1.72,0.01,1.78,55.65,37.54,7.06,13.72,1.02,68.02,15.58,0.58,1895708.68,36974.18,352052.18,-73934.7,1705462.48,827386.66,878075.82,470448.31,379299.37,102531.54,486878.86
"Andalucia",2003,18.76,0.86,1.71,0.01,1.8,53.42,38.11,13.9,15.4,1.04,74.16,16.03,0.63,2230318.24,24422.89,336533.83,21236.93,1319446.54,404018.37,915428.18,410972.13,131736.5,50773.11,433323.24
"Andalucia",2004,19.6,0.75,1.66,0.01,1.78,56.93,36.8,8.42,14.03,1.03,75.22,16.94,0.72,2537833.07,33052.97,389469.74,35453.77,1532710.46,494184.86,1038525.62,488027.82,151923.28,114773.37,495902.08
"Andalucia",2005,17.56,0.76,1.65,0.01,1.77,56.26,51.21,6.71,12.93,1.04,76.77,17.59,0.57,2492238.99,21735.82,426729.42,11235.73,1444208.32,490067.1,954141.23,456847.81,174406.33,77132.71,556605.83
"Andalucia",2006,18.89,0.98,1.63,0.01,2.08,55.08,41.25,10.38,13.72,1.07,79.46,18.22,0.81,2693285.13,25728.97,476250.94,19084.34,1666947.06,588698.42,1078248.65,497753.99,251454.3,94207.42,641893.71
"Andalucia",2007,19.26,1.27,1.68,0.01,2.12,56.52,51.38,6.18,15.34,1.08,85.73,19.24,1.23,2637123.21,38200.72,560724.2,3305.24,1923641.77,663540.13,1260101.64,535345.4,177554.83,147194.3,782636.61
"Andalucia",2008,15,1.06,1.51,0.01,1.88,51.42,33.34,-3.98,17.61,1.1,77.79,20.7,0.91,2825989.88,46768.48,601723.23,9711.74,1902638.35,692754.3,1209884.06,637964.96,268432.52,147997.56,764635.84
"Andalucia",2009,12.4,0.76,1.36,0.01,1.47,52.29,35.57,-11.38,18.24,1.1,71.14,20.94,0.65,2304709.12,31673.24,600874.61,10772.55,1890419.04,747592.22,1142826.84,638212.88,294130.63,119953.12,704442.25
"Andalucia",2010,11.22,0.81,1.34,0.01,1.81,56.02,33.64,-0.88,19.5,1.14,74.25,22,0.75,2511951.34,31842.82,653498.51,3250.08,2076394.77,812546.13,1263848.69,677227.91,323685.78,122287.34,744279.19
"Andalucia",2011,8.31,0.57,1.3,0.01,1.34,53,32.12,-6.42,19.55,1.14,70.58,22.71,0.53,2300169.75,36920.59,664862.76,-88382.37,1803593.01,697338.91,1104715.87,447194.35,322357.78,95186.14,620625.43
"Andalucia",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Asturias",1996,11.74,0.81,1.8,0.01,1.79,64.16,71.34,5.68,22.3,1.12,88.14,15.95,1.13,103641.47,2694.61,18274.15,1375.34,71684.41,17813.35,53871.06,21237.93,3886.28,4214.06,37371.36
"Asturias",1997,23.65,1.37,1.92,0.01,2.04,71.04,56.01,15.19,19.02,1.15,92.69,16.95,1.33,138777.52,2946.85,22325.43,2814.68,90598.06,23447.85,67150.21,28572.79,6306.45,3015.18,44364.18
"Asturias",1998,21.69,1.14,2.08,0.01,1.52,74.03,82.5,10.16,18.47,1.09,69.68,15.19,0.67,177692.88,2641.01,27515.37,1789.03,124656.1,41649.64,83006.46,38395.44,9088.85,6444.35,51388.56
"Asturias",1999,16.35,0.86,2.15,0.01,1.72,70.7,53.05,10.98,17.21,1.08,75.44,14.85,0.86,220200.91,4230.15,35841.05,3344.05,199987.99,71649.49,128338.5,52512.17,38822.19,6877.83,75726.48
"Asturias",2000,17.05,0.91,2.09,0.01,1.72,61.42,40.59,12.78,17.32,1.02,71.97,14.76,0.65,291840.17,7539.15,44750.56,2770.08,258007.77,98819,159188.78,66808.92,48577.16,14554.93,95535.09
"Asturias",2001,15.66,0.68,2.13,0.01,2.11,59.79,35.2,8.6,19.63,1.1,78.87,16.01,0.74,312650.43,7313.16,56502.95,5121.57,283435.44,129617.02,153818.42,85042.88,58817.13,11869.72,99454.94
"Asturias",2002,16.62,0.63,2.09,0.01,1.65,58.42,51.37,-0.08,19.65,1.13,68.6,16.14,0.5,297759.97,6569.52,59287.35,733.23,300373.78,161197.17,139176.61,87165.17,95633.96,16792.51,100348.74
"Asturias",2003,10.71,0.53,2,0.01,1.46,61.49,55.47,4.94,20.63,1.15,68.19,17.95,0.39,289091.65,7293.06,61979.96,-4181.5,299110.32,170993.62,128116.7,81917.52,98606.97,19965.08,72701.17
"Asturias",2004,12.05,0.88,1.81,0.01,1.75,66.1,72.91,3.75,17.91,1.11,66.49,18.81,0.73,350678.87,7248.53,68812.9,2772.28,320043.87,178785.62,141258.24,85906.34,91830.15,27446.74,79170.77
"Asturias",2005,13.76,1.18,1.77,0.01,2.52,62.74,53.39,7.35,21.77,1.17,72.4,19.73,0.86,408696.75,7504.54,80482.77,7618.88,361467.57,192895.44,168572.12,99552.21,99736.73,26198.64,96424.78
"Asturias",2006,13.55,1.38,1.82,0.01,2.68,63.54,32.73,9.58,21.92,1.17,72.46,20.09,1.01,431800.37,7822.32,89929.77,9552.98,362114.08,192730.07,169384.01,102844.48,100559.3,32956.68,97218.31
"Asturias",2007,20.74,1.51,1.92,0.01,2.35,68.93,49.14,8.14,22.14,1.2,78.87,20.73,1.26,488132.36,9193.74,103209.97,15988.33,404023.44,200980.13,203043.3,114635.15,90010.72,43508.5,102737.67
"Asturias",2008,15.96,1.48,1.89,0.01,1.91,60.77,34.77,0.92,24.84,1.23,72.09,22.53,0.95,530622.83,12942.27,116191.5,13251.14,459939.71,248538.96,211400.74,126686.55,116235.44,58628.9,119824.51
"Asturias",2009,15.23,0.94,1.64,0.01,1.46,72.72,43.38,-5.49,26.29,1.23,65.2,22.74,0.62,519226.27,8417.14,120651.42,16362.06,484301.21,235583.04,248718.17,148882.54,100563.75,55775.07,118778.85
"Asturias",2010,13.81,1.51,1.64,0.01,2.36,72.97,43.66,-2.2,28.06,1.27,62.04,23.52,0.99,550898.07,7743.75,123295.37,23686.79,502212.83,249766.79,252446.05,177256.05,74617.96,52872.64,103150.62
"Asturias",2011,8.27,0.85,1.5,0.01,1.44,65.85,40.65,-4.18,29.28,1.31,60.66,23.59,0.48,513486.43,9657.13,121833.35,15605.76,777733.85,553797.61,223936.25,189514.66,339606.02,40883.96,99776.65
"Asturias",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Baleares",1996,18.7,1.07,2.1,0.01,1.82,62.56,,9.65,20.26,1.1,83.44,15.19,0.86,39000.53,557.93,8129.66,406.33,21535,5847.63,15687.39,6006.91,1309.23,0,13431.6
"Baleares",1997,18.95,1.36,2.21,0.01,1.58,55.3,,13.23,19.77,1.17,79.62,15.5,1.04,46180.65,772.66,10169.51,385.53,32581.7,8660.57,23921.12,13621.3,2767.36,0,20601.89
"Baleares",1998,20.34,1.77,2.15,0.01,2.87,54.65,,14.94,21.72,1.09,81.29,17.14,1.09,65332.02,737.29,13334.02,677.67,62491.04,33652.14,28838.92,31931.72,2817.46,0,19580.27
"Baleares",1999,26.83,1.92,2.13,0.01,2.56,60.82,,20.23,23.65,1.11,89.65,17.31,1.23,92378.18,802.71,18735.77,2100.16,58392.44,27173.17,31219.27,24784.88,3866.29,0,25530.9
"Baleares",2000,22.29,0.92,1.9,0.01,1.75,57.77,,9.96,20.62,1.14,81.46,18.07,1.12,136179.46,11020.2,30849.15,-16912.47,202234.15,120742.74,81491.4,39922.21,57910.5,4541.51,56406.54
"Baleares",2001,12.62,1,1.9,0.01,1.64,62.75,37.13,4.69,22.92,1.08,72.96,18.65,1.18,193322.29,1324.68,34458.72,2065.11,93732.56,38284.59,55447.97,34447.89,7549.53,25.01,44089.55
"Baleares",2002,16.05,0.86,1.82,0.01,2.18,58.38,13.34,3.63,19.57,1.07,73.42,20.24,1.03,259466.04,1672.07,40701.2,3577.75,105826.7,37859.6,67967.09,41900.34,8231.33,5.94,43139.44
"Baleares",2003,16.37,1.02,1.82,0.01,1.89,57.56,,4.38,22.42,1.07,75.45,20.9,0.89,166686.5,1567.93,42557.38,-233.43,98665.24,33977.44,64687.8,33237.06,9361.29,42.03,50142.03
"Baleares",2004,15.75,1,1.79,0.01,2.11,67.19,24.4,3.91,22.12,1.1,87.24,20.66,0.92,182074.15,1343.25,38977.84,2608.49,117304.06,37952.89,79351.17,45279.81,11430.34,740.92,52385.28
"Baleares",2005,15.6,1.23,1.76,0.01,2.01,62.1,23.73,5.42,19.48,1.11,80.09,20.21,1.05,184711.6,1922.7,52603.33,1738.41,132559.05,41109.63,91449.43,47133.55,18190.03,644.84,53805.65
"Baleares",2006,15.27,1.35,1.65,0.01,2.22,67.71,,9.77,20.5,1.16,89.75,22.33,1.29,210107.07,1988.98,65389.15,2045.42,146977.09,49692.45,97284.64,53762.89,20739.15,262.19,60414.42
"Baleares",2007,20.08,1.8,1.81,0.01,3.18,67.21,47.02,3.78,22.53,1.25,89.01,22.99,1.62,221784.38,2507.73,71139.99,3068.67,152757.78,68940.71,83817.07,59962.33,1735.28,1318.74,58277.41
"Baleares",2008,11.69,1.27,1.41,0.01,1.94,61.89,61.39,-1.99,24.93,1.22,74.71,23.67,1.04,221229.2,3367.78,77225.19,-2451.47,197943.2,96898.02,101045.18,63270.42,44604.95,10631.88,68861.74
"Baleares",2009,7.49,0.31,1.38,0.01,1.14,64.11,43.57,-12.34,25.07,1.25,69.47,25.18,0.33,220427.86,4026.8,90370.37,-5009.04,228632.13,100430.29,128201.83,78698.64,52391.78,10137.22,73012.17
"Baleares",2010,5.96,0.37,1.19,0.01,1.14,64.07,35.5,-4.54,23.4,1.32,72.97,26.06,0.26,223828.09,3579.04,88878.19,1916.99,239764.58,116477.16,123287.43,83417.07,58919.8,8526.19,75382.74
"Baleares",2011,5.01,0.31,1.33,0.01,1.18,62.66,31.3,-4.62,26.04,1.37,72.19,26.35,0.23,209229.75,4279.74,86086.73,-2900.4,264169.65,131590.37,132579.3,82146.83,64058.92,8296.19,76268.25
"Baleares",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Canarias",1996,16.87,1.96,1.81,0.01,1.96,71.4,82.38,8.93,34.89,1.39,136.54,14.49,4.71,81139.63,2359.48,9371.89,1505.49,59050.72,16418.41,42632.3,22806.6,3325.42,7347.5,29304
"Canarias",1997,17.63,3.29,1.64,0.01,2.79,74.96,67.12,12.54,30.39,1.34,97.86,14.99,4.7,101413.08,2431.2,12858.63,3931.95,74776.29,19257.5,55518.78,29426.14,5147.71,7931.26,41424.28
"Canarias",1998,30.7,4.03,1.74,0.01,4.06,81.94,67.43,26.18,31.52,1.38,104.66,15.38,3.81,146961.24,2005.84,22529.93,6328.81,111853.87,28040.95,83812.92,49693.61,7228.16,6723.99,55597.95
"Canarias",1999,26.87,3.56,1.77,0.01,6.15,73.38,67.76,14.16,37.32,1.43,116.04,16.65,5.16,211862.02,2509.68,32428.65,7848.71,170231.05,63631.9,106599.15,79994.93,8540.32,4916.88,70375.23
"Canarias",2000,19.28,3.18,1.71,0.01,4.27,75.88,78.1,8.37,38.54,1.41,96.11,17.32,4.49,291164.29,3826.46,45379.83,3992.02,266833.94,145458.42,121375.54,91657.28,45003.16,22661.8,49407.61
"Canarias",2001,19.73,2.08,1.63,0,3.45,69.22,63.6,13.67,32.74,1.26,74.24,16.26,2.37,382764.99,6482.55,58882.19,-2123.89,380909.97,216673.41,164236.56,148880.96,79020.64,15817.43,76184.72
"Canarias",2002,25.19,3,1.54,0.01,3.88,65.19,56.68,9.67,30.51,1.32,81.07,15.64,3.13,449390.4,9895.08,65408.64,-30289.59,536751.37,328408.91,208342.46,215476.09,123191.64,33212.28,115280.35
"Canarias",2003,16.37,2.37,1.56,0.01,2.97,64.8,37.51,6.38,32.36,1.31,81.48,16.33,2.16,499021.8,5081.28,69190.9,12908.85,495486.02,279971.05,215514.95,254077.24,74934.57,21293.51,149176.41
"Canarias",2004,16.71,2.27,1.49,0,3.49,63.35,41.58,5.96,33.75,1.38,83.07,15.98,2.24,500885.6,7877.17,75511.84,14956.82,612605.58,370095.06,242510.52,268180.48,158769.53,24727.71,154836.68
"Canarias",2005,16.87,2.56,1.44,0,3.32,68.05,52.45,8.4,34.02,1.39,91.7,16.92,2.79,614954.75,12598.74,84680.27,14959.01,656345.99,368121.72,288224.28,285547.79,121110.99,24985.19,186851.35
"Canarias",2006,14.47,2.18,1.35,0.01,3.58,68.47,48.99,6.08,33.2,1.44,96.88,18.62,2.45,718074.3,13248.7,97652.25,23228.6,708185.03,376110.67,332074.36,316754.64,143893.02,26018.6,213778.87
"Canarias",2007,12.27,2.28,1.33,0.01,3.31,74.81,67.77,2.61,36.78,1.52,96.78,20.61,3.14,747397.89,11740.67,106346.9,22937.04,802633.31,431822.8,370810.49,336621.17,167476.84,27840.69,204705.58
"Canarias",2008,9.22,1.74,1.31,0.01,2.05,61.93,44.6,-7.2,37.64,1.45,88.72,21,1.94,680530.28,14598.44,112363.96,21468.56,852714.71,448219.18,404495.54,352642.12,252140.53,45642.95,195658.52
"Canarias",2009,6.8,1.05,1.14,0.01,1.62,66,21.4,-15.56,40.51,1.55,85.22,20.48,0.99,655576.66,8553.91,108254.6,32667.05,934401.65,579051.91,355349.74,386618.51,278944.68,67506.23,200356.41
"Canarias",2010,7.06,1.63,1.08,0.01,2.07,64.33,34.24,-2.96,44.34,1.67,85.02,21.18,1.81,630341.19,15689.54,105272.38,31232,930665.06,603469.76,327195.29,415036.37,235980.85,67858.88,167206.52
"Canarias",2011,5.98,1.31,1.1,0.01,1.97,65.65,42.92,-3.44,44.9,1.68,81.2,22.9,1.16,581389.75,16191.18,99084.78,22301.24,1138171.55,743324.55,394847.01,447124.64,299268.08,58625.75,154781.77
"Canarias",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Cantabria",1996,11.63,0.24,1.8,0.02,1.12,85.98,,1.44,21.22,1.16,79.61,18.21,-0.07,22351.38,711.86,4850.95,-1021.72,25945.85,11547.34,14398.52,8511.34,7366.1,0,10419.02
"Cantabria",1997,37.28,2.85,1.78,0.01,2.51,90.82,,19.05,29.27,1.25,103.3,17.24,-0.43,29126.21,800.61,5704.91,-404.09,26128.79,13042.78,13086.02,8671.53,6965.52,0,11012.62
"Cantabria",1998,23.77,1.5,1.65,0.01,2.18,66.91,,1.61,22.91,1.23,100.53,14.89,0.85,34796.47,662.93,7182.85,103.29,32804.18,15588.2,17215.97,9845.24,8447.07,0,14881.99
"Cantabria",1999,23.95,2.15,1.74,0.01,3.55,71.15,,10.01,25.92,1.33,107.78,20.69,3.7,46951.86,743.89,9544.18,-2125.98,71351.15,38228.34,33122.82,18997.76,30924.66,0,20327.36
"Cantabria",2000,21.58,2.41,1.82,0.01,2.6,108.07,,12.66,18.74,1.13,76.36,17.56,2.24,55051.47,5425.94,13937.84,-12408.48,103647.11,67222.44,36424.66,6356.09,44995.67,0,26227.89
"Cantabria",2001,20.38,1.1,1.95,0.01,1.88,52.42,45.25,11.51,17.53,1.04,76,17.13,1.22,68422.56,631.22,19328.41,1768.13,36278.52,8583.74,27694.78,11513.34,4778.79,1674.83,20735.85
"Cantabria",2002,15.87,1.02,1.95,0.01,2.41,49.89,39.42,1.37,12.67,1.03,78.61,18.68,0.9,67600.86,756.32,19556.49,683.76,36357.35,7447.15,28910.2,10946.11,7209.37,53.96,20622.88
"Cantabria",2003,16.32,0.93,2.01,0.01,1.87,53.83,48.08,5.4,16.97,1.07,82.61,18.88,0.32,71718.36,540.28,20544.26,2267.16,42493.84,7557.44,34936.4,13634.94,5811.81,148.91,23147.63
"Cantabria",2004,16.73,1.18,1.92,0,3.18,62.37,25.01,8.37,19.78,1.17,61.83,18.71,0.72,80767.39,453.88,22215.31,2993.8,45071.63,7438.21,37633.43,16302.89,4263.47,171.18,26161.53
"Cantabria",2005,31.05,1.07,1.89,0,3.52,58.41,29.68,5.59,13.08,1.13,70.35,19.49,0.81,97250.42,404.65,29029.04,2997.81,50792.3,12089.23,38703.08,18710.65,5092.82,168.9,28025.49
"Cantabria",2006,23.8,2.45,1.86,0,3.96,61.23,34.96,6.44,15.66,1.2,76.79,20.68,2.06,123385.57,581.93,33504.29,6267.03,69891.26,12852.61,57038.66,23613.85,6386.79,205.99,37442.21
"Cantabria",2007,24.57,2.26,1.97,0,4.1,59.48,35.55,17.56,19.81,1.29,88.15,22.24,1.38,148884.91,735.07,40468.96,7663.17,76492.45,16027.1,60465.35,29413.56,1269.04,2358.54,37453.41
"Cantabria",2008,17.92,1.24,1.64,0,2.85,52.78,30.59,-4.35,22.46,1.25,84.88,21.28,1.6,157045.93,1260.66,48387.27,4522.7,102119.22,22722.61,79396.61,37430.15,16197.26,4227.54,48610.81
"Cantabria",2009,15.63,1.52,1.52,0.01,1.74,68.23,41.78,-4,23.39,1.23,73.63,24.14,1.33,173206.6,1172.98,51216.47,4834.83,112692.88,34943.89,77749,41805.39,20520.88,3417.28,46888.28
"Cantabria",2010,10.29,0.7,1.37,0.01,2.44,60.44,21.78,-0.9,23.35,1.2,86.18,25.51,0.71,208230,1263.67,52321.93,4908.28,137305.3,48212.78,89092.52,47896.05,29162.61,7363.22,56407.33
"Cantabria",2011,7.49,0.63,1.27,0.01,1.66,64.31,12.85,-9.97,24.07,1.28,81.15,27.34,0.65,234745.2,2307.18,55535.79,3671.8,148511.42,52762.47,95748.95,52934.21,34732.56,6875.01,68146.04
"Cantabria",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Castilla La Mancha",1996,16.56,0.72,1.86,0.01,1.38,52.59,10.13,9.93,18.77,1.04,65.09,12.19,0.83,68732.21,2178.38,7556.18,181.79,34889.84,9972.79,24917.05,6194.28,4469.5,6052.06,20070.57
